canonical_perturbation,target_a,target_b,original_condition_labels,total_n,minimum_lane_n,observed_rms,additive_rmse,delta_pearson,cosine,residual_over_response_rms,mean_same_sign_lane_fraction,fraction_genes_majority_lane_sign,se_undefined_lane_n_lt_2,lolo_max_rms_change
IER5L+LYL1,IER5L,LYL1,LYL1+IER5L,547,20,0.07437149328853274,0.02991981806654193,0.9188794295459868,0.9187412623145048,0.40230223629455125,0.6034192269573836,0.6691774033696729,False,0.007930871170655308
PTPN12+SNAI1,PTPN12,SNAI1,PTPN12+SNAI1,244,23,0.049206543858173,0.029602997078708747,0.8705280378497703,0.8705773736087308,0.6016069156174196,0.594400396432111,0.6574826560951437,False,0.008177786209846173
CBL+PTPN9,CBL,PTPN9,CBL+PTPN9,234,23,0.07699531095998738,0.029117846350433886,0.9255608522998149,0.9257345927640052,0.3781768784019294,0.5947472745292368,0.6620416253716551,False,0.007563631906191307
FOXF1+HOXB9,FOXF1,HOXB9,FOXF1+HOXB9,173,13,0.0751888080483648,0.0291107949609815,0.927781786326983,0.9276526290718095,0.38716925718859835,0.5809217046580774,0.645986124876115,False,0.009690350815366946
BPGM+SAMD1,BPGM,SAMD1,BPGM+SAMD1,240,16,0.07904828554875593,0.029021374849093586,0.9613918198069967,0.9613066483345046,0.36713477904835257,0.5889990089197225,0.6527254707631318,False,0.00851353936434439
HOXC13+ZC3HAV1,HOXC13,ZC3HAV1,ZC3HAV1+HOXC13,543,26,0.05280954476545722,0.0286174100584494,0.9147556783300813,0.9147766397903759,0.5418984425173095,0.5929385530227949,0.6582755203171456,False,0.007719756856544698
PTPN12+UBASH3B,PTPN12,UBASH3B,UBASH3B+PTPN12,260,28,0.08309717002265282,0.02855071589704647,0.9417273712821698,0.9417597417647104,0.34358228913527816,0.5890733399405352,0.6622398414271556,False,0.007402474505536263
SAMD1+ZBTB1,SAMD1,ZBTB1,SAMD1+ZBTB1,164,16,0.0925314186052576,0.028274142154408276,0.9597418763940907,0.959829176174384,0.3055626140892403,0.5785183349851338,0.643211100099108,False,0.009820978078806563
CBL+PTPN12,CBL,PTPN12,CBL+PTPN12,257,25,0.08605925616060778,0.028224010583962105,0.944694471834647,0.9447087767613437,0.3279601967659254,0.5945738354806739,0.6572844400396433,False,0.007349671126586002
ETS2+MAP7D1,ETS2,MAP7D1,ETS2+MAP7D1,265,30,0.06699433552247025,0.027681038946397524,0.9163857595065362,0.9171575200814757,0.41318476749594985,0.5814172447968285,0.6449950445986125,False,0.006930516622341821
PTPN9+UBASH3B,PTPN9,UBASH3B,UBASH3B+PTPN9,282,27,0.07646765924587651,0.027623247057123546,0.9390300087944605,0.9386394758353107,0.3612409132114649,0.591798810703667,0.6666005946481665,False,0.006560979873279469
IKZF3+MAP2K6,IKZF3,MAP2K6,MAP2K6+IKZF3,251,22,0.09452963627566911,0.027273670699619078,0.9667433791658668,0.9668193680557907,0.28851978886370705,0.584217046580773,0.6523290386521309,False,0.008056009121391115
SGK1+TBX3,SGK1,TBX3,SGK1+TBX3,243,25,0.08288565069449717,0.026813624704869875,0.9563267545466744,0.9559697885170264,0.32350140802658917,0.5870664023785926,0.6523290386521309,False,0.007086383108720186
TBX2+TBX3,TBX2,TBX3,TBX3+TBX2,969,56,0.07511222857014052,0.026756472265000445,0.9792033600535444,0.9791914094129771,0.3562199228320725,0.592591674925669,0.663230921704658,False,0.005294317096941212
PTPN12+SAMD1,PTPN12,SAMD1,SAMD1+PTPN12,292,28,0.08554810036255098,0.026682444423939352,0.953325478406234,0.9529259967594889,0.3118999055602607,0.5888999008919722,0.6527254707631318,False,0.007885365590938631
FOXL2+MEIS1,FOXL2,MEIS1,FOXL2+MEIS1,177,18,0.06899196119812674,0.026551559140137973,0.923505954504622,0.9237050018570174,0.3848500416430965,0.5792616451932606,0.644400396432111,False,0.008421052532937732
FOSB+UBASH3B,FOSB,UBASH3B,FOSB+UBASH3B,363,38,0.03530322376388879,0.02626826839286108,0.8693983518774582,0.8697484869275479,0.7440756280090929,0.5902626362735381,0.666402378592666,False,0.006061110384230716
PTPN12+ZBTB25,PTPN12,ZBTB25,PTPN12+ZBTB25,257,25,0.08469133180328628,0.02598479747375435,0.9519211541539665,0.9519485658551493,0.30681767449483016,0.595986124876115,0.6658077304261645,False,0.007259160064449357
FOXL2+ZNF318,FOXL2,ZNF318,ZNF318+FOXL2,197,14,0.053018956478786156,0.025841249317223244,0.8873672760383551,0.887281753156951,0.48739641504567893,0.5804013875123885,0.644400396432111,False,0.00787948620578414
SGK1+TBX2,SGK1,TBX2,SGK1+TBX2,287,24,0.0802244463703419,0.025658231513453627,0.9623739049942227,0.9623132592361251,0.3198305837475894,0.5891476709613479,0.6600594648166501,False,0.007244374733267044
PTPN12+PTPN9,PTPN12,PTPN9,PTPN12+PTPN9,295,32,0.07708634242259724,0.025571943791767995,0.9433227466683859,0.9433971670308329,0.3317311859418535,0.5982656095143707,0.6636273538156591,False,0.008241103983068212
MAP2K3+MAP2K6,MAP2K3,MAP2K6,MAP2K3+MAP2K6,458,46,0.03025542368036462,0.025467986795873032,0.934886753566001,0.9346257000163,0.8417659942538313,0.6001734390485629,0.6699702675916749,False,0.005776026724726224
UBASH3B+ZBTB25,UBASH3B,ZBTB25,UBASH3B+ZBTB25,224,16,0.07638722628725236,0.02489414153231839,0.9466228529338567,0.9463676015227339,0.3258940367687204,0.5837462834489594,0.6541129831516352,False,0.007120205343575155
SAMD1+UBASH3B,SAMD1,UBASH3B,SAMD1+UBASH3B,209,19,0.08208111956478815,0.02485893674412376,0.9531334894229644,0.9531355784811212,0.30285815880596195,0.5799306243805749,0.6497522299306244,False,0.007770741285065938
CBL+TGFBR2,CBL,TGFBR2,CBL+TGFBR2,156,12,0.06101414659657832,0.02397984990528617,0.9195663499800318,0.9195406419029712,0.3930211474371578,0.5833002973240833,0.645193260654113,False,0.009046927334513578
ELMSAN1+LHX1,ELMSAN1,LHX1,LHX1+ELMSAN1,547,33,0.059652162985662,0.023669532313522947,0.9176714838319696,0.9179165979419871,0.3967925240064163,0.5905104063429137,0.664420218037661,False,0.006387253175684354
PRTG+TGFBR2,PRTG,TGFBR2,TGFBR2+PRTG,208,17,0.06916345186581661,0.023655759883125915,0.9493503328900639,0.949277803617114,0.34202688334613834,0.583374628344896,0.6493557978196234,False,0.008054706426223168
CNN1+ETS2,CNN1,ETS2,ETS2+CNN1,785,67,0.04299994777756905,0.023296656680816864,0.9153714507959997,0.9152881289032266,0.541783371489804,0.595416253716551,0.6725470763131813,False,0.004864784817582123
IGDCC3+TGFBR2,IGDCC3,TGFBR2,TGFBR2+IGDCC3,262,20,0.06023382099345889,0.02195559981187842,0.9481293902391892,0.9480178818065792,0.36450617692446735,0.5899157581764123,0.6586719524281467,False,0.00722381200744356
