canonical_perturbation,target_a,target_b,observed_rms,residual_rms,residual_over_response_rms,projection_coefficient,squared_norm_fraction,cosine_to_neg_shared_shift,orthogonal_residual_rms,role
CEBPA+CEBPE,CEBPA,CEBPE,0.1909008801020992,0.1004774138516169,0.526332900078191,-1.5827686043355895,0.17750732888163667,0.4213161863513396,0.09112435489922834,descriptive_alignment_not_confounding_proof
PLK4+STIL,PLK4,STIL,0.06965339323549417,0.0465134991252136,0.6677851137553931,0.7311933061089866,0.17677657750458742,-0.4204480675476906,0.04220247013312399,descriptive_alignment_not_confounding_proof
BPGM+ZBTB1,BPGM,ZBTB1,0.07663926204669856,0.03150893059618187,0.41113301139281,-0.491066437043239,0.1737526788502447,0.4168365133361576,0.02864103419610507,descriptive_alignment_not_confounding_proof
FOXL2+POU3F2,FOXL2,POU3F2,0.0876864517869521,0.03574797526308167,0.407679573464062,0.5564128033356364,0.17330442972099924,-0.41629848633042044,0.03250306033351838,descriptive_alignment_not_confounding_proof
PTPN12+ZBTB25,PTPN12,ZBTB25,0.08469133180328628,0.02598479747375435,0.30681767449483016,0.399385057080503,0.16899088586011218,-0.41108501050283036,0.02368766376090294,descriptive_alignment_not_confounding_proof
CBFA2T3+PRDM1,CBFA2T3,PRDM1,0.11614728108785952,0.05724925461414639,0.4929022365219229,0.8710313501529432,0.16559462319766138,-0.40693319254843463,0.05229478520407582,descriptive_alignment_not_confounding_proof
FOXA1+FOXF1,FOXA1,FOXF1,0.06547628548147666,0.03115978772413626,0.4758942492690947,0.4713585523500329,0.1636937633952847,-0.4045908592581952,0.028495557499367684,descriptive_alignment_not_confounding_proof
IGDCC3+ZBTB25,IGDCC3,ZBTB25,0.09498921079125075,0.031219617223216582,0.32866487639133174,0.46185423143306104,0.15655719710374005,-0.39567309373236387,0.028671828637111322,descriptive_alignment_not_confounding_proof
CEBPB+LYL1,CEBPB,LYL1,0.06740275484400436,0.04948282314378893,0.7341365090835088,-0.7256168630300363,0.15382400924765893,0.3922040403255159,0.04551817264908031,descriptive_alignment_not_confounding_proof
CBFA2T3+POU3F2,CBFA2T3,POU3F2,0.06729476441689335,0.03222968972121314,0.47893309383697547,0.47261503737290195,0.15382295629065335,-0.39220269796452617,0.029647408953653014,descriptive_alignment_not_confounding_proof
FOXA1+HOXB9,FOXA1,HOXB9,0.08439752000760319,0.032513956760730114,0.38524777455310305,0.46677725826953953,0.1474341401616992,-0.3839715356139037,0.030021597130696,descriptive_alignment_not_confounding_proof
ELMSAN1+LHX1,ELMSAN1,LHX1,0.059652162985662,0.023669532313522947,0.3967925240064163,0.335526719105044,0.14374514931549237,-0.37913737525531876,0.021902374432460067,descriptive_alignment_not_confounding_proof
TBX2+TBX3,TBX2,TBX3,0.07511222857014052,0.026756472265000445,0.3562199228320725,-0.3773554214033871,0.1422858830140875,0.3772080102729627,0.02477993323546811,descriptive_alignment_not_confounding_proof
CNN1+MAPK1,CNN1,MAPK1,0.05085738649837842,0.03434388511378096,0.6752978766393356,-0.47763105503187747,0.13835810301335363,0.37196519059362754,0.031879597299198946,descriptive_alignment_not_confounding_proof
KLF1+MAP2K6,KLF1,MAP2K6,0.05425546787626706,0.021509147575313213,0.3964420254261958,0.2982144115344921,0.13750838698157206,-0.3708212331859815,0.01997563710347939,descriptive_alignment_not_confounding_proof
CBL+UBASH3A,CBL,UBASH3A,0.08073371275931326,0.05141689760626969,0.6368702224751623,0.6818580030139024,0.12580400832649474,-0.3546886075510387,0.04807400165195515,descriptive_alignment_not_confounding_proof
CEBPE+SPI1,CEBPE,SPI1,0.16440740044204655,0.05432556725252185,0.3304326149945517,-0.7152860691859948,0.12401360308502754,0.35215565178629116,0.05084555015989706,descriptive_alignment_not_confounding_proof
ETS2+TGFBR2,ETS2,TGFBR2,0.03569313380615855,0.01850096843604222,0.5183341013573325,-0.23804658274261706,0.11842770408545886,0.3441332650085703,0.01737094435313758,descriptive_alignment_not_confounding_proof
FOXA3+FOXL2,FOXA3,FOXL2,0.11444782712274294,0.05753133826585388,0.5026861558861463,0.7344697481345062,0.11658889963820722,-0.34145116728195146,0.05407367699656289,descriptive_alignment_not_confounding_proof
FOXF1+HOXB9,FOXF1,HOXB9,0.0751888080483648,0.0291107949609815,0.38716925718859835,0.3684678556234661,0.11460654351002,-0.33853588216025193,0.02739190390091793,descriptive_alignment_not_confounding_proof
ETS2+PRTG,ETS2,PRTG,0.05579384865594924,0.03051516826957411,0.5469271076412885,-0.3809060690790685,0.11146090838685332,0.3338576169370011,0.02876431518450594,descriptive_alignment_not_confounding_proof
ETS2+MAPK1,ETS2,MAPK1,0.10128844707765149,0.034894557773664535,0.344506790067707,0.4296895140232931,0.10847070050825076,-0.32934890391232624,0.032947730810538006,descriptive_alignment_not_confounding_proof
C3orf72+FOXL2,C3orf72,FOXL2,0.07713066112272761,0.060443909571769136,0.7836560544397889,-0.7389099121234671,0.106904557956188,0.3269626247083725,0.05712174730117664,descriptive_alignment_not_confounding_proof
CEBPA+ZC3HAV1,CEBPA,ZC3HAV1,0.16580770953414076,0.04560019847920651,0.275018565827406,-0.5529144775633105,0.10517215891202256,0.32430257308880944,0.043135662939502835,descriptive_alignment_not_confounding_proof
IKZF3+MAP2K6,IKZF3,MAP2K6,0.09452963627566911,0.027273670699619078,0.28851978886370705,-0.32799944643953943,0.10346116584658895,0.3216537981224362,0.025824275461221503,descriptive_alignment_not_confounding_proof
ELMSAN1+ZBTB10,ELMSAN1,ZBTB10,0.09423947777132359,0.03826952749292292,0.4060880683760333,0.4524656311950919,0.09999616024040804,-0.31622169476556805,0.03630573900396733,descriptive_alignment_not_confounding_proof
CNN1+ETS2,CNN1,ETS2,0.04299994777756905,0.023296656680816864,0.541783371489804,-0.27179108263368584,0.09736470211884846,0.3120331747087935,0.022133482725809422,descriptive_alignment_not_confounding_proof
CBL+PTPN9,CBL,PTPN9,0.07699531095998738,0.029117846350433886,0.3781768784019294,0.3381266209887687,0.09646251048063048,-0.31058414396203565,0.027677849182074207,descriptive_alignment_not_confounding_proof
FOXL2+HOXB9,FOXL2,HOXB9,0.09951090652377481,0.03954125304308208,0.39735597257005206,0.4585482832031508,0.09620277942325683,-0.31016572896317357,0.037591177395338224,descriptive_alignment_not_confounding_proof
IKZF3+MAP2K3,IKZF3,MAP2K3,0.09777799918364273,0.033075886029742124,0.33827534113906665,-0.38041144250510095,0.09462426113490725,0.3076105673329628,0.031472113812678344,descriptive_alignment_not_confounding_proof
KLF1+TGFBR2,KLF1,TGFBR2,0.06234144382112887,0.01913768378959491,0.30698172221524217,0.2190527906383509,0.09372105378236383,-0.3061389452231843,0.018218823142758286,descriptive_alignment_not_confounding_proof
DUSP9+ETS2,DUSP9,ETS2,0.06450965755348906,0.03703537653717583,0.5741059236978192,-0.41742207173661955,0.0908731580488378,0.30145175078084685,0.03531254387052054,descriptive_alignment_not_confounding_proof
FOXL2+MEIS1,FOXL2,MEIS1,0.06899196119812674,0.026551559140137973,0.3848500416430965,0.2904141709298864,0.08558031545143532,-0.29254113463141435,0.025390006479482693,descriptive_alignment_not_confounding_proof
AHR+FEV,AHR,FEV,0.12414313904782859,0.05425585365492571,0.43704270788595556,0.5831679823485934,0.08264421775256656,-0.2874790735906991,0.05196554691099688,descriptive_alignment_not_confounding_proof
SGK1+TBX2,SGK1,TBX2,0.0802244463703419,0.025658231513453627,0.3198305837475894,-0.2732211715517569,0.08111358399543922,0.2848044662491079,0.024595612099802367,descriptive_alignment_not_confounding_proof
IRF1+SET,IRF1,SET,0.10107558965816124,0.04210209639719302,0.4165406953309179,-0.44322549595992233,0.07927940065651527,0.28156597922425797,0.04039872428726903,descriptive_alignment_not_confounding_proof
FOSB+PTPN12,FOSB,PTPN12,0.04061380266527509,0.0351582812701875,0.8656732185348387,-0.3650635250641124,0.07712584675990244,0.27771540605429595,0.03377527375126193,descriptive_alignment_not_confounding_proof
PTPN12+PTPN9,PTPN12,PTPN9,0.07708634242259724,0.025571943791767995,0.3317311859418535,0.2614618204261994,0.074783779541925,-0.2734662310815085,0.024597182316402462,descriptive_alignment_not_confounding_proof
FOXA3+HOXB9,FOXA3,HOXB9,0.09776196798373755,0.03727102826617793,0.3812426144324127,0.38029787313543856,0.07447720593550046,-0.2729051225893359,0.03585625552953615,descriptive_alignment_not_confounding_proof
ETS2+IKZF3,ETS2,IKZF3,0.1063271395818934,0.03246457398306464,0.305327258033311,-0.3273584953101793,0.07273545279078382,0.26969511080252057,0.03126162404431795,descriptive_alignment_not_confounding_proof
ELMSAN1+MAP2K3,ELMSAN1,MAP2K3,0.05093510057955234,0.02166648838595728,0.42537441056227526,0.21777041780110945,0.07226683643964532,-0.26882491781761103,0.020868924562363424,descriptive_alignment_not_confounding_proof
ETS2+MAP7D1,ETS2,MAP7D1,0.06699433552247025,0.027681038946397524,0.41318476749594985,0.2777550071687179,0.07202401912261017,-0.2683729105603062,0.026665562786232645,descriptive_alignment_not_confounding_proof
CEBPB+FOSB,CEBPB,FOSB,0.14774389772357194,0.06377389157879998,0.4316516117513063,0.638882615542947,0.07179176572437429,-0.26793985467707915,0.0614420401098545,descriptive_alignment_not_confounding_proof
CBL+TGFBR2,CBL,TGFBR2,0.06101414659657832,0.02397984990528617,0.3930211474371578,0.23782524522125326,0.07036250897855835,-0.2652593240181358,0.02312082227512559,descriptive_alignment_not_confounding_proof
CEBPB+CEBPE,CEBPB,CEBPE,0.14190172084534095,0.06614894320996881,0.4661602608897514,-0.6426302144768439,0.0675141481856885,0.2598348479047575,0.06387693009528783,descriptive_alignment_not_confounding_proof
KLF1+SET,KLF1,SET,0.0725915294208938,0.04011476236798699,0.5526094117041828,-0.3799926651555178,0.06418895584959267,0.25335539435660853,0.03880594886046041,descriptive_alignment_not_confounding_proof
ELMSAN1+MAP2K6,ELMSAN1,MAP2K6,0.03812874235689035,0.017979615842554118,0.47155019366394,0.1675344469957527,0.06211060333570114,-0.24921998983970192,0.0174123032124032,descriptive_alignment_not_confounding_proof
MAPK1+TGFBR2,MAPK1,TGFBR2,0.058724628387480673,0.01937439838157235,0.32991947183956505,-0.17963945805076395,0.06149861748144211,0.2479891479106336,0.01876919662298589,descriptive_alignment_not_confounding_proof
SNAI1+UBASH3B,SNAI1,UBASH3B,0.05105838621707028,0.02138547595606976,0.41884355422341923,-0.19796566152318543,0.061299964321742076,0.24758829601122523,0.020719646307700224,descriptive_alignment_not_confounding_proof
CEBPE+FOSB,CEBPE,FOSB,0.1335916530929352,0.04661504544111416,0.34893681125935055,0.4214214338619391,0.05846545697564608,-0.24179631299018206,0.04523183854516586,descriptive_alignment_not_confounding_proof
SGK1+TBX3,SGK1,TBX3,0.08288565069449717,0.026813624704869875,0.32350140802658917,-0.2418550016079245,0.058199254915120666,0.24124521739325872,0.026021662594163383,descriptive_alignment_not_confounding_proof
SAMD1+ZBTB1,SAMD1,ZBTB1,0.0925314186052576,0.028274142154408276,0.3055626140892403,-0.24986807046178017,0.05586772456508686,0.23636354322332973,0.027472985653568077,descriptive_alignment_not_confounding_proof
KIF18B+KIF2C,KIF18B,KIF2C,0.03570360803047401,0.03267383193270424,0.9151408985001244,-0.2673065536096794,0.04787815463506667,0.21881077358088807,0.03188205712753143,descriptive_alignment_not_confounding_proof
DLX2+ZBTB10,DLX2,ZBTB10,0.13624945749510312,0.0654453930706882,0.48033507269590664,0.5305903002497159,0.04701958409442454,-0.2168399965283724,0.0638882611930082,descriptive_alignment_not_confounding_proof
DUSP9+SNAI1,DUSP9,SNAI1,0.11147236918829438,0.06354523888320947,0.5700537213474988,0.4742639554985539,0.03984671617999134,-0.1996164226209641,0.06226633479657773,descriptive_alignment_not_confounding_proof
FOXA1+FOXA3,FOXA1,FOXA3,0.08090452044389024,0.03052319667106076,0.3772743043725169,0.1969170762398946,0.029773168774379213,-0.1725490329569518,0.030065377094006727,descriptive_alignment_not_confounding_proof
CBL+PTPN12,CBL,PTPN12,0.08605925616060778,0.028224010583962105,0.3279601967659254,0.17924158395294934,0.028850837530688712,-0.1698553429559656,0.0278138876652867,descriptive_alignment_not_confounding_proof
CEBPB+OSR2,CEBPB,OSR2,0.10523375266760604,0.042633509077593126,0.40513150958567823,-0.2606478822351345,0.026737732420900554,0.16351676495362963,0.04205968572687209,descriptive_alignment_not_confounding_proof
SAMD1+TGFBR2,SAMD1,TGFBR2,0.07078626637192476,0.03253227766634254,0.4595845964725933,0.18409932813426597,0.022908349371877034,-0.15135504409129227,0.03215748838832436,descriptive_alignment_not_confounding_proof
BAK1+BCL2L11,BAK1,BCL2L11,0.020173049960076725,0.02109050141938294,1.0454790654423545,-0.11382106111838856,0.020834821380888383,0.14434272195330247,0.0208696365288463,descriptive_alignment_not_confounding_proof
FOXA1+KLF1,FOXA1,KLF1,0.06514977152373701,0.03454955361420556,0.5303096665752326,0.1839672824718128,0.020282180179486856,-0.14241551944744946,0.03419738866288196,descriptive_alignment_not_confounding_proof
FOXA1+FOXL2,FOXA1,FOXL2,0.07677885660342594,0.03380289966383086,0.44026312918969085,0.16820626862015073,0.017713108077959165,-0.13309060101284076,0.033502184858100276,descriptive_alignment_not_confounding_proof
COL2A1+KLF1,COL2A1,KLF1,0.07519916913747816,0.04317568235425015,0.5741510557825036,-0.21136894750184287,0.0171443996285322,0.13093662447356813,0.042803971701259075,descriptive_alignment_not_confounding_proof
SAMD1+UBASH3B,SAMD1,UBASH3B,0.08208111956478815,0.02485893674412376,0.30285815880596195,0.12051308316075363,0.016812086965826045,-0.12966143206762,0.02464908569379225,descriptive_alignment_not_confounding_proof
