split,model,canonical_perturbation,mse,mae,delta_pearson,cosine
train,train_condition_balanced_perturbed_mean,CEBPE+SPI1,0.021744188123248707,0.0466264494304084,0.559672441761365,0.5626056069682345
train,train_condition_balanced_perturbed_mean,CLDN6+KLF1,0.005357120970585357,0.018220746053265496,0.6853970497872222,0.6865765688535447
train,train_condition_balanced_perturbed_mean,CNN1+ETS2,0.001245876990769689,0.010295200421676703,0.6111514536979656,0.6105350153785134
train,train_condition_balanced_perturbed_mean,CNN1+MAPK1,0.0021690936983788955,0.013159966226487012,0.4650849205149382,0.465216312142258
train,train_condition_balanced_perturbed_mean,CNN1+UBASH3A,0.007645449461291813,0.02365354634388201,0.7445292949701683,0.740855852730512
train,train_condition_balanced_perturbed_mean,CNN1+UBASH3B,0.007873669721351022,0.02172347314153012,0.6888701591062057,0.6841096402240145
train,train_condition_balanced_perturbed_mean,DLX2+ZBTB10,0.014128057575046442,0.037747250993308244,0.5866200810627019,0.5885732935249676
train,train_condition_balanced_perturbed_mean,DUSP9+IGDCC3,0.005369395471015415,0.01965839396791437,0.7411315893877521,0.741506280351312
train,train_condition_balanced_perturbed_mean,DUSP9+KLF1,0.007223311546225764,0.01977276825717072,0.608057525967805,0.6093087901916767
train,train_condition_balanced_perturbed_mean,DUSP9+MAPK1,0.0016553525653511946,0.012224939431933143,0.4772445430845352,0.480734058246783
train,train_condition_balanced_perturbed_mean,DUSP9+PRTG,0.006144703790058851,0.020953053511389038,0.7324626358150043,0.7330018291747601
train,train_condition_balanced_perturbed_mean,DUSP9+SNAI1,0.007988274699250428,0.029173746592759245,0.7172471283691442,0.7190371384049781
train,train_condition_balanced_perturbed_mean,ELMSAN1+LHX1,0.0029431019354593043,0.013358947031546343,0.4406304465892154,0.4426990943888917
train,train_condition_balanced_perturbed_mean,ELMSAN1+MAP2K3,0.004349191425497549,0.02021990429126049,-0.14000578782481995,-0.13887150704014672
train,train_condition_balanced_perturbed_mean,ELMSAN1+MAP2K6,0.0031531411520302212,0.017266626711576104,-0.1674873270859706,-0.16581059136427198
train,train_condition_balanced_perturbed_mean,ELMSAN1+ZBTB10,0.00567059461838624,0.02465604375759715,0.6650009724425409,0.667226335776043
train,train_condition_balanced_perturbed_mean,ETS2+IKZF3,0.006679857756992041,0.020208489818570343,0.778201628855483,0.7795489266910526
train,train_condition_balanced_perturbed_mean,ETS2+MAP7D1,0.004774852650985195,0.019388323708254437,0.19850183696840942,0.20393709967654608
train,train_condition_balanced_perturbed_mean,ETS2+MAPK1,0.009586179421079753,0.025617968210807238,0.26476243475553696,0.26955355700043926
train,train_condition_balanced_perturbed_mean,ETS2+TGFBR2,0.00219620493984768,0.01414717366521193,0.1261847474907751,0.13134752620140247
train,train_condition_balanced_perturbed_mean,FOSB+IKZF3,0.003906578715088699,0.015702989862934447,0.7482326530547786,0.7495273847005255
train,train_condition_balanced_perturbed_mean,FOSB+OSR2,0.008751614380078302,0.026528062689350825,0.2666232300885752,0.2740955686530186
train,train_condition_balanced_perturbed_mean,FOSB+PTPN12,0.001195137938387827,0.011307225451686708,0.5951544305096399,0.5939323441843803
train,train_condition_balanced_perturbed_mean,FOSB+UBASH3B,0.0011275132651176775,0.010580165929454684,0.5475463243521379,0.5490423507673741
train,train_condition_balanced_perturbed_mean,FOXA1+FOXA3,0.003450952778916784,0.019065573427250154,0.755807498401846,0.7572792697405535
train,train_condition_balanced_perturbed_mean,FOXA1+FOXF1,0.0021445823751307432,0.014828414999637737,0.7288957210233967,0.7306088658845981
train,train_condition_balanced_perturbed_mean,FOXA1+HOXB9,0.0036591845188020324,0.0195680988900414,0.7864688938207836,0.78767512813183
train,train_condition_balanced_perturbed_mean,FOXL2+ZNF318,0.0010246381513266591,0.010998954332432835,0.8110785782798287,0.8096751832169213
train,train_condition_balanced_perturbed_mean,HOXC13+ZC3HAV1,0.0015879059195285869,0.011809603229519638,0.6554149772900031,0.6559346431855854
train,train_condition_balanced_perturbed_mean,IGDCC3+PRTG,0.0029244428355963558,0.016252444576876742,0.7398069788809165,0.7392662834860687
train,train_condition_balanced_perturbed_mean,IGDCC3+TGFBR2,0.001844545292828937,0.012515671424629027,0.7144512061334088,0.7117029004119587
train,train_condition_balanced_perturbed_mean,IKZF3+MAP2K3,0.006351527205090151,0.01581854258368903,0.6429154796105601,0.6432759705216631
train,train_condition_balanced_perturbed_mean,IKZF3+MAP2K6,0.005479181283525879,0.015998327745412592,0.701570587981049,0.7023851691829698
train,train_condition_balanced_perturbed_mean,IRF1+SET,0.008909439337476613,0.027151069910404058,0.35448253298445903,0.3581134047394292
train,train_condition_balanced_perturbed_mean,KIF18B+KIF2C,0.0012762073845842441,0.013556350381319608,0.49636190168928984,0.49377337625959566
train,train_condition_balanced_perturbed_mean,KLF1+SET,0.004510119594547323,0.01822781509577524,0.3925397591826546,0.3923246173234317
train,train_condition_balanced_perturbed_mean,MAP2K3+SLC38A2,0.003448858558673479,0.017691690407007486,-0.4631908045561304,-0.4624254606556633
train,train_condition_balanced_perturbed_mean,MAP2K6+SPI1,0.0018598372549604165,0.013722547309310771,0.48552064151192525,0.48500644063582676
train,train_condition_balanced_perturbed_mean,MAPK1+TGFBR2,0.004000929364603833,0.017238227030457434,0.16602383498474735,0.16979952773350102
